N|Acuraccy|Precision|Recall|F-Measure|Class|Domain|DomainValue|Comment
2|1.0|1.0|1.0|1.0|1|Subject:Jetliner_position|0.200000003|!!!!! rt @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
3|1.0|1.0|1.0|1.0|1|Subject:Nuisance_fee|0.400000006|!!!!!!! rt @urkindofbrand dawg!!!! rt @80sbaby4life: you ever fuck a bitch and she start to cry? you be confused as shit
4|0.8|0.75|1.0|0.85714287|1|Subject:I_Look_Like_an_Engineer|0.056249999|!!!!!!!!! rt @c_g_anderson: @viva_based she look like a tranny
6|0.8333333|0.8|1.0|0.88888896|1|Subject:Offences_Against_the_Person_Act|0.333333343|"!!!!!!!!!!!!!!!!!!""@t_madison_x: the shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
7|0.85714287|0.8333333|1.0|0.90909094|1|Subject:Nuisance_fee|0.400000006|"!!!!!!""@__brighterdays: i can not just sit up and hate on another bitch .. i got too much shit going on!"""
8|0.875|0.85714287|1.0|0.9230769|1|Subject:Abuse_of_information|0.285714298|!!!!&#8220;@selfiequeenbri: cause i'm tired of you big bitches coming for us skinny girls!!&#8221;
9|0.8888889|0.875|1.0|0.93333334|1|Subject:Nuisance_fee|0.200000003|""" &amp; you might not get ya bitch back &amp; thats that """
10|0.9|0.8888889|1.0|0.94117653|1|Subject:Bitch_(insult)|0.109722227|""" @rhythmixx_ :hobbies include: fighting mariam"" bitch"
11|0.90909094|0.9|1.0|0.9473684|1|Subject:Sudan_Freedom_Walk|0.166666672|""" keeks is a bitch she curves everyone "" lol i walked into a conversation like this. smh"
12|0.9166667|0.90909094|1.0|0.95238096|1|Subject:Nuisance_fee|0.200000003|""" murda gang bitch its gang land """
13|0.9230769|0.9166667|1.0|0.95652175|1|Subject:Offences_Against_the_Person_Act|0.266666681|""" so hoes that smoke are losers ? "" yea ... go on ig"
14|0.9285714|0.9230769|1.0|0.96000004|1|Subject:Teacher_abuse|0.200000003|""" bad bitches is the only thing that i like """
15|0.93333334|0.9285714|1.0|0.9629629|1|Subject:Bitch_tits|0.250000000|""" bitch get up off me """
16|0.9375|0.93333334|1.0|0.9655172|1|Subject:Missing_stair|0.250000000|""" bitch nigga miss me with it """
18|0.9411765|0.9375|1.0|0.9677419|1|Subject:Nuisance_fee|0.200000003|""" bitch who do you love """
19|0.9444444|0.9411765|1.0|0.969697|1|Subject:B|0.200000003|""" bitches get cut off everyday b """
20|0.94736844|0.9444444|1.0|0.9714286|1|Subject:Black_Peril|0.166666672|""" black bottle &amp; a bad bitch """
21|0.95|0.94736844|1.0|0.972973|1|Subject:Time-out_(parenting)|0.285714298|""" broke bitch cant tell me nothing """
22|0.9047619|0.9|1.0|0.9473684|1|Subject:Mark_and_Avoid|0.095238104|""" cancel that bitch like nino """
23|0.8636364|0.85714287|1.0|0.9230769|1|Subject:Hoe_Kah_Hong|0.068750001|""" cant you see these hoes wont change """
24|0.8695652|0.8636364|1.0|0.9268293|1|Subject:Video_Volunteers|0.125000000|""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the kermit videos bout to fuck ig up"
25|0.875|0.8695652|1.0|0.9302325|1|Subject:Bitch_tits|0.250000000|""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cou2wq5l4q"
26|0.88|0.875|1.0|0.93333334|1|Subject:This_is_Paradise!|0.125000000|""" her pussy lips like heaven doors "" &#128524;"
27|0.84615386|0.84|1.0|0.9130435|1|Subject:Hoe_Kah_Hong|0.068750001|""" hoe what its hitting for """
28|0.8518519|0.84615386|1.0|0.9166667|1|Subject:Force-feeding|0.349206388|""" i met that pussy on ocean dr . i gave that pussy a pill "" &#128524;"
29|0.85714287|0.8518519|1.0|0.92|1|Subject:Nuisance_fee|0.200000003|""" i need a trippy bitch who fuck on hennessy """
31|0.86206895|0.85714287|1.0|0.9230769|1|Subject:Bitch_tits|0.250000000|""" i txt my old bitch my new bitch pussy wetter """
32|0.8666667|0.86206895|1.0|0.92592597|1|Subject:Bitch_tits|0.250000000|""" i'd say im back to the old me but my old bitches would get excited "" &#128524;"
34|0.83870965|0.8333333|1.0|0.90909094|1|Subject:Carlos_Prats|0.042745102|""" if you're toes ain't done you pussy stinks """
35|0.84375|0.83870965|1.0|0.91228074|1|Subject:Claimants_Bill_of_Rights|0.291666687|""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
36|0.8484849|0.84375|1.0|0.91525424|1|Subject:Bitch_tits|0.250000000|""" is that ya bitch """
37|0.85294116|0.8484849|1.0|0.9180328|1|Subject:Nurse_abuse|0.400000006|""" it aint nothing to cut a bitch off """
38|0.85714287|0.85294116|1.0|0.9206349|1|Subject:Bitch_tits|0.250000000|""" jus meet son now he ya mane ass bitches "" #shots"
39|0.8611111|0.85714287|1.0|0.9230769|1|Subject:Offence_against_the_person|0.133333340|""" lames crying over hoes thats tears of a clown """
41|0.8378378|0.85714287|0.9677419|0.9090909|2|Subject:Adult_abuse|0.200000003|""" momma said no pussy cats inside my doghouse """
42|0.84210527|0.8611111|0.96875|0.9117647|1|Subject:Hatred|0.173333332|""" most hated but the hoes favorite "" #2mw #sevenone # http://t.co/bmdsvmc3rc"
43|0.84615386|0.8648649|0.969697|0.9142858|1|Subject:Fundaci?n_Mujeres_en_Igualdad|0.293333352|""" nice girls bad, make me get naughty. bad yello hoe, real nice body. down south chick, like em real thick"" http://t.co/bzrdl3kf7u"
44|0.85|0.8684211|0.9705882|0.9166666|1|Subject:Offences_Against_the_Person_Act|0.133333340|""" pimps up pimps up hoes down "" future voice"
45|0.85365856|0.8717949|0.9714286|0.9189189|1|Subject:Martyrdom_video|0.111111119|""" post a picture of that pussy get 200 likes """
46|0.85714287|0.875|0.9722222|0.92105263|1|Subject:Goodenough_Drug_Strategy|0.166666672|""" pussy is a powerful drug "" &#128517; #happyhumpday http://t.co/r8jsymib5b"
47|0.8604651|0.8780488|0.972973|0.9230769|1|Subject:Opus_Sanctorum_Angelorum|0.183333337|""" quick piece of pussy call it a drive by """
48|0.8636364|0.88095236|0.9736842|0.92499995|1|Subject:Human_branding|0.312500000|""" running round here like some brand new pussy thats bout to get fucked """
49|0.8666667|0.88372093|0.974359|0.9268293|1|Subject:Nuisance_fee|0.200000003|""" these bitches even worst they'll send them guys for you """
51|0.8695652|0.8863636|0.975|0.92857146|1|Subject:Domestic_violence_in_same-sex_relationships|0.133333340|""" we dont trust these niggas all these bitches """
52|0.87234044|0.8888889|0.9756098|0.93023264|1|Subject:Lawsuits_against_the_Devil|0.233333334|""" yall niggas b cuffing hoes cause yall aint never have bitches """
53|0.875|0.8913044|0.97619045|0.9318182|1|Subject:List_of_strikes_in_Spain|0.266666681|""" you dodge a bullet "" &#128517; &#8220;@darealkha: ""all da bitches i cut off pregnant or bound to be ....thank god &#128591;""&#8221;"
54|0.877551|0.89361703|0.9767442|0.93333334|1|Subject:Nuisance_fee|0.400000006|""" young pill chamberlain these bitches love my music """
55|0.86|0.875|0.9767442|0.9230769|1|Subject:Grapple_Ray|0.100000001|"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@vandalsavage_: teanna trump probably cleaner than most of these twitter hoes but........."""
56|0.8627451|0.877551|0.97727275|0.9247312|1|Subject:Offences_Against_the_Person_Act|0.657142878|"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@dahomiefuzz: gay niggas couldn't wait to act like bitches tonight"""
58|0.84615386|0.86|0.97727275|0.9148936|1|Subject:Grapple_Ray|0.100000001|"""&amp; he's gone always be a hoe"""
59|0.8490566|0.8627451|0.9777778|0.9166666|1|Subject:Sons_of_Africa|0.208333343|"""...son of a bitch took my tic tacs."" i like this movie."
60|0.8518519|0.86538464|0.9782609|0.9183673|1|Subject:Nuisance_fee|0.200000003|"""..all i wanna do is get money and fuck model bitches!"" - russell simmons"
61|0.8545455|0.8679245|0.9787234|0.91999996|1|Subject:Nuisance_fee|0.200000003|"""@2015seniorprobs: i probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". retweet"
62|0.85714287|0.8703704|0.9791667|0.92156863|1|Subject:Poof|0.333333343|"""@a7xdemery: i'm a fucking fag they said"""
63|0.8596491|0.8727273|0.97959185|0.9230769|1|Subject:Adult_abuse|0.200000003|"""@arizzleindacut: females think dating a pussy is cute now? http://t.co/vxbjg26gsz"" how does doing this stuff make him a pussy?"
64|0.8448276|0.8727273|0.96|0.9142857|2|Subject:Offence_against_the_person|0.133333340|"""@addicted2guys: -simplyaddictedtoguys http://t.co/1jl4hi8zmf"" woof woof hot scally lad"
