N|Acuraccy|Precision|Recall|F-Measure|Class|Domain|DomainValue|Comment
2|1.0|1.0|1.0|1.0|1|Subject:Jetliner_position|0.200000003|!!!!! rt @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
3|1.0|1.0|1.0|1.0|1|Subject:Nuisance_fee|0.400000006|!!!!!!! rt @urkindofbrand dawg!!!! rt @80sbaby4life: you ever fuck a bitch and she start to cry? you be confused as shit
4|0.8|0.75|1.0|0.85714287|1|Subject:I_Look_Like_an_Engineer|0.056249999|!!!!!!!!! rt @c_g_anderson: @viva_based she look like a tranny
6|0.8333333|0.8|1.0|0.88888896|1|Subject:Offences_Against_the_Person_Act|0.538461566|"!!!!!!!!!!!!!!!!!!""@t_madison_x: the shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &#128514;&#128514;&#128514;"""
7|0.85714287|0.8333333|1.0|0.90909094|1|Subject:Nuisance_fee|0.400000006|"!!!!!!""@__brighterdays: i can not just sit up and hate on another bitch .. i got too much shit going on!"""
8|0.875|0.85714287|1.0|0.9230769|1|Subject:Adult_abuse|0.353846163|!!!!&#8220;@selfiequeenbri: cause i'm tired of you big bitches coming for us skinny girls!!&#8221;
9|0.8888889|0.875|1.0|0.93333334|1|Subject:Nuisance_fee|0.200000003|""" &amp; you might not get ya bitch back &amp; thats that """
10|0.9|0.8888889|1.0|0.94117653|1|Subject:Bitch_(insult)|0.109722227|""" @rhythmixx_ :hobbies include: fighting mariam"" bitch"
11|0.90909094|0.9|1.0|0.9473684|1|Subject:Offences_Against_the_Person_Act|0.205128223|""" keeks is a bitch she curves everyone "" lol i walked into a conversation like this. smh"
12|0.9166667|0.90909094|1.0|0.95238096|1|Subject:Offence_against_the_person|0.353276372|""" murda gang bitch its gang land """
13|0.9230769|0.9166667|1.0|0.95652175|1|Subject:Adult_abuse|0.307692319|""" so hoes that smoke are losers ? "" yea ... go on ig"
14|0.9285714|0.9230769|1.0|0.96000004|1|Subject:Teacher_abuse|0.200000003|""" bad bitches is the only thing that i like """
15|0.93333334|0.9285714|1.0|0.9629629|1|Subject:Bitch_tits|0.250000000|""" bitch get up off me """
16|0.9375|0.93333334|1.0|0.9655172|1|Subject:Missing_stair|0.250000000|""" bitch nigga miss me with it """
18|0.9411765|0.9375|1.0|0.9677419|1|Subject:Offences_Against_the_Person_Act|0.235897452|""" bitch who do you love """
19|0.9444444|0.9411765|1.0|0.969697|1|Subject:B|0.200000003|""" bitches get cut off everyday b """
20|0.94736844|0.9444444|1.0|0.9714286|1|Subject:Black_hat|0.190705135|""" black bottle &amp; a bad bitch """
21|0.95|0.94736844|1.0|0.972973|1|Subject:Time-out_(parenting)|0.285714298|""" broke bitch cant tell me nothing """
22|0.95238096|0.95|1.0|0.9743589|1|Subject:Stress_position|0.117948726|""" cancel that bitch like nino """
23|0.90909094|0.9047619|1.0|0.95|1|Subject:Hoe_Kah_Hong|0.068750001|""" cant you see these hoes wont change """
24|0.9130435|0.90909094|1.0|0.95238096|1|Subject:School_of_the_Americas_Watch|0.221153855|""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the kermit videos bout to fuck ig up"
25|0.9166667|0.9130435|1.0|0.95454544|1|Subject:Human_rights_abuses_in_Kashmir|0.277777791|""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cou2wq5l4q"
26|0.92|0.9166667|1.0|0.95652175|1|Subject:Animal_bite|0.213675231|""" her pussy lips like heaven doors "" &#128524;"
27|0.88461536|0.88|1.0|0.9361702|1|Subject:Right_to_work|0.098290607|""" hoe what its hitting for """
28|0.8888889|0.88461536|1.0|0.9387755|1|Subject:Force-feeding|0.537240624|""" i met that pussy on ocean dr . i gave that pussy a pill "" &#128524;"
29|0.89285713|0.8888889|1.0|0.94117653|1|Subject:Nuisance_fee|0.200000003|""" i need a trippy bitch who fuck on hennessy """
31|0.8965517|0.89285713|1.0|0.9433963|1|Subject:Bitch_tits|0.250000000|""" i txt my old bitch my new bitch pussy wetter """
32|0.9|0.8965517|1.0|0.94545454|1|Subject:Bitch_tits|0.250000000|""" i'd say im back to the old me but my old bitches would get excited "" &#128524;"
34|0.9032258|0.9|1.0|0.9473684|1|Subject:Animal_bite|0.213675231|""" if you're toes ain't done you pussy stinks """
35|0.90625|0.9032258|1.0|0.9491525|1|Subject:Claimants_Bill_of_Rights|0.291666687|""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
36|0.90909094|0.90625|1.0|0.9508197|1|Subject:Bitch_tits|0.250000000|""" is that ya bitch """
37|0.9117647|0.90909094|1.0|0.95238096|1|Subject:Nurse_abuse|0.400000006|""" it aint nothing to cut a bitch off """
38|0.9142857|0.9117647|1.0|0.95384616|1|Subject:Offences_Against_the_Person_Act|0.418803424|""" jus meet son now he ya mane ass bitches "" #shots"
39|0.9166667|0.9142857|1.0|0.9552239|1|Subject:Offences_Against_the_Person_Act|0.235897452|""" lames crying over hoes thats tears of a clown """
41|0.8918919|0.9142857|0.969697|0.94117653|2|Subject:Adult_abuse|0.200000003|""" momma said no pussy cats inside my doghouse """
42|0.8947368|0.9166667|0.9705882|0.94285715|1|Subject:Ethnic_hatred|0.217948720|""" most hated but the hoes favorite "" #2mw #sevenone # http://t.co/bmdsvmc3rc"
43|0.8974359|0.9189189|0.9714286|0.9444444|1|Subject:Fundaci?n_Mujeres_en_Igualdad|0.293333352|""" nice girls bad, make me get naughty. bad yello hoe, real nice body. down south chick, like em real thick"" http://t.co/bzrdl3kf7u"
44|0.9|0.92105263|0.9722222|0.945946|1|Subject:Offence_against_the_person|0.235897452|""" pimps up pimps up hoes down "" future voice"
45|0.902439|0.9230769|0.972973|0.9473684|1|Subject:Talking_shit|0.153846160|""" post a picture of that pussy get 200 likes """
46|0.9047619|0.925|0.9736842|0.9487179|1|Subject:Goodenough_Drug_Strategy|0.166666672|""" pussy is a powerful drug "" &#128517; #happyhumpday http://t.co/r8jsymib5b"
47|0.90697676|0.9268293|0.974359|0.95|1|Subject:Opus_Sanctorum_Angelorum|0.183333337|""" quick piece of pussy call it a drive by """
48|0.90909094|0.9285714|0.975|0.9512195|1|Subject:Human_branding|0.312500000|""" running round here like some brand new pussy thats bout to get fucked """
49|0.9111111|0.9302326|0.9756098|0.952381|1|Subject:Offence_against_the_person|0.205128223|""" these bitches even worst they'll send them guys for you """
51|0.9130435|0.9318182|0.97619045|0.9534884|1|Subject:Domestic_violence_in_same-sex_relationships|0.133333340|""" we dont trust these niggas all these bitches """
52|0.9148936|0.93333334|0.9767442|0.95454544|1|Subject:Offences_Against_the_Person_Act|0.293040335|""" yall niggas b cuffing hoes cause yall aint never have bitches """
53|0.9166667|0.9347826|0.97727275|0.95555556|1|Subject:Offences_Against_the_Person_Act|0.307692349|""" you dodge a bullet "" &#128517; &#8220;@darealkha: ""all da bitches i cut off pregnant or bound to be ....thank god &#128591;""&#8221;"
54|0.9183673|0.9361702|0.9777778|0.9565217|1|Subject:Offences_Against_the_Person_Act|0.890598297|""" young pill chamberlain these bitches love my music """
55|0.9|0.9166667|0.9777778|0.94623655|1|Subject:Grapple_Ray|0.100000001|"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@vandalsavage_: teanna trump probably cleaner than most of these twitter hoes but........."""
56|0.9019608|0.9183673|0.9782609|0.94736844|1|Subject:Offences_Against_the_Person_Act|0.862271070|"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@dahomiefuzz: gay niggas couldn't wait to act like bitches tonight"""
58|0.88461536|0.9|0.9782609|0.9375|1|Subject:Grapple_Ray|0.100000001|"""&amp; he's gone always be a hoe"""
59|0.8867925|0.9019608|0.9787234|0.93877554|1|Subject:Sons_of_Africa|0.208333343|"""...son of a bitch took my tic tacs."" i like this movie."
60|0.8888889|0.90384614|0.9791667|0.94|1|Subject:Offence_against_the_person|0.235897452|"""..all i wanna do is get money and fuck model bitches!"" - russell simmons"
61|0.8909091|0.9056604|0.97959185|0.9411765|1|Subject:Offences_Against_the_Person_Act|0.213675231|"""@2015seniorprobs: i probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". retweet"
62|0.89285713|0.9074074|0.98|0.9423077|1|Subject:Poof|0.333333343|"""@a7xdemery: i'm a fucking fag they said"""
63|0.8947368|0.90909094|0.98039216|0.9433963|1|Subject:Female_infanticide|0.265151531|"""@arizzleindacut: females think dating a pussy is cute now? http://t.co/vxbjg26gsz"" how does doing this stuff make him a pussy?"
64|0.87931037|0.90909094|0.96153843|0.9345795|2|Subject:Peer_abuse|0.153846160|"""@addicted2guys: -simplyaddictedtoguys http://t.co/1jl4hi8zmf"" woof woof hot scally lad"
